"29291","York St / Queens Quay W","2019","all"
"22487","Bay St / Queens Quay W (Ferry Terminal)","2019","all"
"22113","Bathurst St/Queens Quay(Billy Bishop Airport)","2019","all"
"19424","Union Station","2019","all"
"19179","Sherbourne St / Wellesley St E","2019","all"
"18687","Bay St / College St (East Side)","2019","all"
"17177","Ontario Place Blvd / Lake Shore Blvd W (East)","2019","all"
"16959","Front St W / Blue Jays Way","2019","all"
"16942","Simcoe St / Queen St W","2019","all"
"16884","Queen St W / Portland St","2019","all"
"30949","Queens Quay E / Lower Sherbourne St","2020","all"
"30459","Lake Shore Blvd W / Ontario Dr","2020","all"
"26571","Marilyn Bell Park Tennis Court","2020","all"
"26129","HTO Park (Queens Quay W)","2020","all"
"25727","York St / Queens Quay W","2020","all"
"25685","Ontario Place Blvd / Lake Shore Blvd W (East)","2020","all"
"22540","Bay St / Queens Quay W (Ferry Terminal)","2020","all"
"21021","Cherry Beach","2020","all"
"20757","Humber Bay Shores Park West","2020","all"
"20227","Bathurst St/Queens Quay(Billy Bishop Airport)","2020","all"
"35799","York St / Queens Quay W","2021","all"
"27946","Ontario Place Blvd / Lake Shore Blvd W (East)","2021","all"
"27231","Bay St / Queens Quay W (Ferry Terminal)","2021","all"
"26676","Lake Shore Blvd W / Ontario Dr","2021","all"
"26614","Queens Quay E / Lower Sherbourne St","2021","all"
"26123","HTO Park (Queens Quay W)","2021","all"
"25726","Bathurst St/Queens Quay(Billy Bishop Airport)","2021","all"
"22678","Marilyn Bell Park Tennis Court","2021","all"
"22223","Queens Quay / Yonge St","2021","all"
"21050","Dundas St E / Regent Park Blvd","2021","all"
"40380","York St / Queens Quay W","2022","all"
"32420","Bay St / College St (East Side)","2022","all"
"29676","Bay St / Queens Quay W (Ferry Terminal)","2022","all"
"26470","HTO Park (Queens Quay W)","2022","all"
"26147","Bay St / Wellesley St W","2022","all"
"26088","King St W / Brant St","2022","all"
"25930","Lake Shore Blvd W / Ontario Dr","2022","all"
"25837","College St / Major St","2022","all"
"25792","Dundas St W / Yonge St","2022","all"
"25174","Queens Quay E / Lower Sherbourne St","2022","all"
"17778","Sherbourne St / Wellesley St E","2019","Annual Member"
"16517","Bay St / College St (East Side)","2019","Annual Member"
"15863","Union Station","2019","Annual Member"
"15753","York St / Queens Quay W","2019","Annual Member"
"15159","Dundas St E / Regent Park Blvd","2019","Annual Member"
"14253","Princess St / Adelaide St E","2019","Annual Member"
"13994","Front St W / Blue Jays Way","2019","Annual Member"
"13959","Queen St W / Portland St","2019","Annual Member"
"13802","Bay St / Wellesley St W","2019","Annual Member"
"13499","Widmer St / Adelaide St W","2019","Annual Member"
"13538","York St / Queens Quay W","2019","Casual Member"
"12660","Ontario Place Blvd / Lake Shore Blvd W (East)","2019","Casual Member"
"11911","Lake Shore Blvd W / Ontario Dr","2019","Casual Member"
"11875","Bay St / Queens Quay W (Ferry Terminal)","2019","Casual Member"
"11430","HTO Park (Queens Quay W)","2019","Casual Member"
"10544","Bathurst St/Queens Quay(Billy Bishop Airport)","2019","Casual Member"
"8127","Sunnyside - Gus Ryder Pool","2019","Casual Member"
"7703","Bremner Blvd / Rees St","2019","Casual Member"
"7672","Queens Quay W / Lower Simcoe St","2019","Casual Member"
"7527","Queens Quay / Yonge St","2019","Casual Member"
"16947","Queens Quay E / Lower Sherbourne St","2020","Annual Member"
"14159","Dundas St E / Regent Park Blvd","2020","Annual Member"
"12535","York St / Queens Quay W","2020","Annual Member"
"12402","Queen St W / Portland St","2020","Annual Member"
"11602","Bay St / College St (East Side)","2020","Annual Member"
